,videoId,channelId,videoTitle,videoDescription,imageUrl,channelTitle,liveBroadcastContent,videoPublishTime,order,query,videoId,videoViewCnt,videoLikeCnt,videoCommentCnt,videoDuration
0,jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,lofi hip hop radio 📚 - beats to relax/study to,"Listen on Spotify, Apple music and more → https://fanlink.tv/lofigirl-music | Lofi Girl on all social media ...",https://i.ytimg.com/vi/jfKfPfyJRdk/hqdefault_live.jpg,Lofi Girl,live,2022-07-12 21:12:29+09:00,viewCount,lofi,jfKfPfyJRdk,404650857,2767212,0,live
1,lTRiuFIWV54,UCSJ4gkVC6NrvII8umztf0Ow,1 A.M Study Session 📚 [lofi hip hop/chill beats],"Create your lofi avatar now → https://bit.ly/lofigirl-generator | Listen on Spotify, Apple music and more ...",https://i.ytimg.com/vi/lTRiuFIWV54/hqdefault.jpg,Lofi Girl,none,2019-12-09 07:02:06+09:00,viewCount,lofi,lTRiuFIWV54,107712014,1901689,62179,1H1M14S
2,9RMHHwJ9Eqk,UC9KBo0QUNAZ1baTtjP8MpwA,n u a g e s - Dreams ❀,Fae Child's Spotify Playlist: https://spoti.fi/2Okamt1 ✿Fae Child Ambient: https://spoti.fi/2SkIBBG ❀Lo-fi/Chill Beats: ...,https://i.ytimg.com/vi/9RMHHwJ9Eqk/hqdefault.jpg,Fae Child ❀ AKA Bijou Violet,none,2013-03-01 18:38:38+09:00,viewCount,lofi,9RMHHwJ9Eqk,74572872,784270,19005,5M33S
3,jrTMMG0zJyI,UC0fiLCwTmAukotCXYnqfj0A,Samurai ☯ Japanese Lofi HipHop Mix,Listen on Spotify - https://spoti.fi/40X4RWg Lofi hip hop / Chill beats mix Japanese Mix Tracklist: 0:00 RŮDE - Eternal Youth ...,https://i.ytimg.com/vi/jrTMMG0zJyI/hqdefault.jpg,the bootleg boy,none,2018-05-21 07:00:01+09:00,viewCount,lofi,jrTMMG0zJyI,57375831,1256184,30420,40M2S
4,rUxyKA_-grg,UCSJ4gkVC6NrvII8umztf0Ow,lofi hip hop radio 💤 - beats to sleep/chill to,"Listen on Spotify, Apple music and more → https://fanlink.tv/lofigirl-music | Lofi Girl on all social media ...",https://i.ytimg.com/vi/rUxyKA_-grg/hqdefault_live.jpg,Lofi Girl,live,2022-07-14 01:04:34+09:00,viewCount,lofi,rUxyKA_-grg,54934873,491159,0,live
5,5yx6BWlEVcY,UCOxqgCwgOqC2lMqC5PYz_Dg,Chillhop Radio - jazzy &amp; lofi hip hop beats 🐾,Add Chillhop Essentials Summer 2024 to your music library & unlock Freebies ・ https://chillhop.ffm.to/summer2024.OYD!,https://i.ytimg.com/vi/5yx6BWlEVcY/hqdefault_live.jpg,Chillhop Music,live,2020-03-21 22:21:02+09:00,viewCount,lofi,5yx6BWlEVcY,50671931,372754,8,live
6,_BWPNPtsZm8,UCPwv-SqbNplIIXZXSrwhzvg,Eternal Youth,Provided to YouTube by DistroKid Eternal Youth · Rude. Eternal Youth ℗ Chill Squad Released on: 2017-08-07 Auto-generated ...,https://i.ytimg.com/vi/_BWPNPtsZm8/hqdefault.jpg,RŮDE - Topic,none,2017-08-08 01:06:10+09:00,viewCount,lofi,_BWPNPtsZm8,49643579,865971,6200,3M26S
7,BrnDlRmW5hs,UCaziV_mlABegRYAK1RGNfEQ,old songs but it&#39;s lofi remix,Follow us on Spotify: https://sptfy.com/9tWx Follow us on Apple Music: ...,https://i.ytimg.com/vi/BrnDlRmW5hs/hqdefault.jpg,Lo-fi Music,none,2020-07-19 05:25:39+09:00,viewCount,lofi,BrnDlRmW5hs,48112763,1230152,16570,24M1S
8,n61ULEU7CO0,UCSJ4gkVC6NrvII8umztf0Ow,Best of lofi hip hop 2021 ✨ [beats to relax/study to],The new Lofi Girl compilation “Best of 2021” is out now This compilation contains a track cherry-picked from every release on ...,https://i.ytimg.com/vi/n61ULEU7CO0/hqdefault.jpg,Lofi Girl,none,2022-01-01 01:30:13+09:00,viewCount,lofi,n61ULEU7CO0,36860090,371840,6295,6H32M5S
9,mTZL5OoG_0Q,UC7CLR70PwAff4tBUavQ42cw,Chuyện Đôi Ta (Freak D Lofi Ver.) - Emcee L ft Muộii,Chuyện Đôi Ta (Freak D Lofi Ver.) - Emcee L ft Muộii #freakd​ #lofi​ #chuyendoita ▻ Official Mv: https://youtu.be/6eONmnFB9sw ...,https://i.ytimg.com/vi/mTZL5OoG_0Q/hqdefault.jpg,Freak D Music,none,2021-12-04 21:00:17+09:00,viewCount,lofi,mTZL5OoG_0Q,34578230,119516,1501,3M31S
